request_ip,method,uri,status,referrer,user_agent,query_string,result_type,request_protocol,request_bytes,time_taken,xforwarded_for,ssl_protocol,ssl_cipher,response_result_type,http_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
3.236.57.159,GET,/directories/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,348,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.095,Error,text/html,548,,
3.236.57.159,GET,/dist/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,451,0.1,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.1,Error,text/html,548,,
3.236.57.159,GET,/django-blog/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,352,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.095,Error,text/html,548,,
3.236.57.159,GET,/django/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,342,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.095,Error,text/html,548,,
3.236.57.159,GET,/django_project_path/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,354,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.095,Error,text/html,548,,
3.236.57.159,GET,/doc/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,347,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/docker-compose/platform/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,358,0.098,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.098,Error,text/html,548,,
3.236.57.159,GET,/docker-elk/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,350,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/docker-network-healthcheck/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,362,0.097,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.097,Error,text/html,548,,
3.236.57.159,GET,/docker-node-mongo-redis/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,359,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.096,Error,text/html,548,,
3.236.57.159,GET,/docker/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,448,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/docker/app/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,348,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/chat-client/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,350,0.097,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,41222,0.097,Error,text/html,548,,
3.236.57.159,GET,/check.php,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,346,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,41222,0.094,Error,text/html,548,,
3.236.57.159,GET,/chiminey/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,347,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,41222,0.095,Error,text/html,548,,
3.236.57.159,GET,/dataset/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,342,0.099,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.099,Error,text/html,548,,
3.236.57.159,GET,/dataset1/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,350,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.095,Error,text/html,548,,
3.236.57.159,GET,/dataset2/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,347,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/debug/default/view,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,351,0.153,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.153,Error,text/html;%20charset=UTF-8,,,
3.236.57.159,GET,/default/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,451,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.096,Error,text/html,548,,
3.236.57.159,GET,/delivery/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,346,0.093,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.093,Error,text/html,548,,
3.236.57.159,GET,/demo-app/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,348,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/demo/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,349,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/demo/.env.local,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,348,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/demo/.env.production,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,354,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/demo/.env.staging,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,354,0.095,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.095,Error,text/html,548,,
3.236.57.159,GET,/dep.php,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,343,0.093,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.093,Error,text/html,548,,
3.236.57.159,GET,/deploy.php,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,346,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/deploy/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,453,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/dev.php,404,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,343,0.097,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.097,Error,text/html,548,,
3.236.57.159,GET,/docker/compose/withMongo/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,363,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/docker/compose/withPostgres/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,362,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/docker/database/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,359,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.096,Error,text/html,548,,
3.236.57.159,GET,/docker/db/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,345,0.094,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.094,Error,text/html,548,,
3.236.57.159,GET,/docker/examples/compose/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,358,0.097,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.097,Error,text/html,548,,
3.236.57.159,GET,/docker/postgres/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,357,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.096,Error,text/html,548,,
3.236.57.159,GET,/docker/webdav/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,357,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.096,Error,text/html,548,,
3.236.57.159,GET,/docs/.env,403,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_12_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/56.0.2924.87%20Safari/537.36",-,Error,https,453,0.096,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,,34338,0.096,Error,text/html,548,,
